"grupa";"parametr_1";"parametr_2";"metoda";"r";"p_value";"istotna";"kierunek";"sila"
"CHOR2";"hsCRP";"LEU";"Spearman";0,11699;0,57758;"NIE";"dodatnia";"brak lub bardzo slaba"
"CHOR2";"ERY";"PLT";"Spearman";0,08009;0,70352;"NIE";"dodatnia";"brak lub bardzo slaba"
"CHOR2";"ERY";"HGB";"Spearman";0,8831;0;"TAK";"dodatnia";"bardzo silna"
"CHOR2";"ERY";"HCT";"Spearman";0,75145;1e-05;"TAK";"dodatnia";"bardzo silna"
"CHOR2";"ERY";"MCHC";"Spearman";0;1;"NIE";"brak";"brak lub bardzo slaba"
"CHOR2";"ERY";"MON";"Spearman";-0,33648;0,10005;"NIE";"ujemna";"umiarkowana"
"CHOR2";"ERY";"LEU";"Spearman";0,26597;0,19876;"NIE";"dodatnia";"slaba"
"CHOR2";"PLT";"HGB";"Spearman";-0,06021;0,77496;"NIE";"ujemna";"brak lub bardzo slaba"
"CHOR2";"PLT";"HCT";"Spearman";0,04857;0,81765;"NIE";"dodatnia";"brak lub bardzo slaba"
"CHOR2";"PLT";"MCHC";"Spearman";-0,51937;0,0078;"TAK";"ujemna";"silna"
"CHOR2";"PLT";"MON";"Spearman";-0,03389;0,87223;"NIE";"ujemna";"brak lub bardzo slaba"
"CHOR2";"PLT";"LEU";"Spearman";0,21217;0,30859;"NIE";"dodatnia";"slaba"
"CHOR2";"HGB";"HCT";"Spearman";0,73696;3e-05;"TAK";"dodatnia";"bardzo silna"
"CHOR2";"HGB";"MCHC";"Spearman";0,21207;0,30882;"NIE";"dodatnia";"slaba"
"CHOR2";"HGB";"MON";"Spearman";-0,37237;0,06679;"NIE";"ujemna";"umiarkowana"
"CHOR2";"HGB";"LEU";"Spearman";0,30131;0,14328;"NIE";"dodatnia";"umiarkowana"
"CHOR2";"HCT";"MCHC";"Spearman";0,08799;0,67579;"NIE";"dodatnia";"brak lub bardzo slaba"
"CHOR2";"HCT";"MON";"Spearman";-0,17653;0,39861;"NIE";"ujemna";"brak lub bardzo slaba"
"CHOR2";"HCT";"LEU";"Spearman";0,27129;0,1896;"NIE";"dodatnia";"slaba"
"CHOR2";"MCHC";"MON";"Spearman";-0,28694;0,16432;"NIE";"ujemna";"slaba"
"CHOR2";"MCHC";"LEU";"Spearman";0,10047;0,63277;"NIE";"dodatnia";"brak lub bardzo slaba"
"CHOR2";"MON";"LEU";"Spearman";-0,1001;0,63403;"NIE";"ujemna";"brak lub bardzo slaba"
